AIRBNB * HMMXW4Z4HJ    723-939-9977  GB,ABROAD_EXPENSES 
שירותי בר בארועים,RESTOURANTS_AND_HOTELS
HERCULES GREEK SOUVENI ATHINA        GR,ABROAD_EXPENSES 
מכבידנט כפר סבא,HEALTH_AND_MACABI 
SEA LIFE ORLANDO LLC   120-2666900   US,ABROAD_EXPENSES 
ROLADIN SENSES מרכז הזמנו,OTHER_FOOD 
TIN BUILDING BY JEAN-G NEW YORK      US,ABROAD_EXPENSES 
פורטונה פיצה,RESTOURANTS_AND_HOTELS
ארקפה מילניום,RESTOURANTS_AND_HOTELS
HULK CART 01003680     ORLANDO       US,ABROAD_EXPENSES 
דוארט,UNKNOWN 
SQ *CHILL-N,ABROAD_EXPENSES 
ללין G כפר סבא,HOME_RELATED
מרחבים טל חניונים,CAR_EXPENSES 
RING YEARLY PLAN       HTTPSRING.COM US,HOME_RELATED
GOOGLE HEX INSTALLER   MOUNTAIN VIEW USA,STARTUP
פאנקי מיוזיק-צמרת,MISC
BREAD ALONE - BOICEVIL BOICEVILLE    US,ABROAD_EXPENSES 
CICCOLATITALIANI LONAT LONATO DEL GA IT,ABROAD_EXPENSES 
מעדניית סוליקה שף אבי ביט,OTHER_FOOD 
AMZN MKTP US*TX92W4642 AMZN.COM/BILL US,PRESENTS 
MARKETPLACE            WWW.ALIEXPRES GB,AMAZON_AND_GOOGLE 
מרגלית ילדים,CLOTHING 
AVIS RENT-A-CAR        JERSEY CITY   US,ABROAD_EXPENSES 
אופטיקה פרקש,HEALTH_INSURANCE 
WM SUPERCENTER #2963   CORAL SPRINGS US,ABROAD_EXPENSES 
סופר פארם ק.רננים 68,HEALTH_AND_MACABI 
"שטראוס מים בע""מ",WATER 
WOLT,OTHER_FOOD 
א.א חומרי בנין,HOME_RELATED
כלמוביל ביטוח סוכנות לביט,CAR_INSURANCE 
א.מ.ש.,SCHOOLS 
דרים ספורט,CLOTHING 
בוטיק סטנרל - רעננה,OTHER_FOOD 
בבקה בייקרי,OTHER_FOOD 
פיצה ביס,RESTOURANTS_AND_HOTELS
"קרולינה למקה בע""מ",CLOTHING 
"סיטי הול חניונים בע""מ",CAR_EXPENSES 
MIGROSS SPA            VERONA        IT,ABROAD_EXPENSES 
"HOT MOBILE הו""ק",INTERNET_AND_PHONES 
PRASINI TENTA          ATHINA        GR,ABROAD_EXPENSES 
ITALMARK 0201 VITTORIA BRESCIA       IT,ABROAD_EXPENSES 
S WEAR,CLOTHING 
פרומרקטינג וויזרד,UNKNOWN 
מכבי פארם הודהשרון סוקולו,HEALTH_INSURANCE 
RESTAURANT ALPTRIDA    SAMNAUN DORF  CH,ABROAD_EXPENSES 
קאנטרי גלי רון,HUGIM 
נונומימי כיכר המושבה,RESTOURANTS_AND_HOTELS
קרן אור מרכז מחול,HUGIM 
GEMMA PIZZERIA         VERONA        IT,ABROAD_EXPENSES 
"מאפיית טלר בע""מ",RESTOURANTS_AND_HOTELS
בהדונס חומוס בר,RESTOURANTS_AND_HOTELS
"מגדל לוינשטיין בע""מ",UNKNOWN 
